"","Date","Time","Calib"
"1","23/02/2019"," 19:40:00",0
"2","23/02/2019"," 19:45:00",0
"3","23/02/2019"," 19:50:00",0
"4","23/02/2019"," 19:55:00",0
"5","23/02/2019"," 20:00:00",0
"6","23/02/2019"," 20:05:00",0
"7","23/02/2019"," 20:10:00",0
"8","23/02/2019"," 20:15:00",0
"9","23/02/2019"," 20:20:00",0
"10","23/02/2019"," 20:25:00",0
"11","23/02/2019"," 20:30:00",0
"12","23/02/2019"," 20:35:00",0
"13","23/02/2019"," 20:40:00",0
"14","23/02/2019"," 20:45:00",0
"15","23/02/2019"," 20:50:00",0
"16","23/02/2019"," 20:55:00",0
"17","23/02/2019"," 21:00:00",0
"18","23/02/2019"," 21:05:00",0
"19","23/02/2019"," 21:10:00",0
"20","23/02/2019"," 21:15:00",0
"21","23/02/2019"," 21:20:00",0
"22","23/02/2019"," 21:25:00",0
"23","23/02/2019"," 21:30:00",0
"24","23/02/2019"," 21:35:00",0
"25","23/02/2019"," 21:40:00",0
"26","23/02/2019"," 21:45:00",0
"27","23/02/2019"," 21:50:00",0
"28","23/02/2019"," 21:55:00",0
"29","23/02/2019"," 22:00:00",0
"30","23/02/2019"," 22:05:00",0
"31","23/02/2019"," 22:10:00",0
"32","23/02/2019"," 22:15:00",0
"33","23/02/2019"," 22:20:00",0
"34","23/02/2019"," 22:25:00",0
"35","23/02/2019"," 22:30:00",0
"36","23/02/2019"," 22:35:00",0
"37","23/02/2019"," 22:40:00",0
"38","23/02/2019"," 22:45:00",0
"39","23/02/2019"," 22:50:00",0
"40","23/02/2019"," 22:55:00",0
"41","23/02/2019"," 23:00:00",0
"42","23/02/2019"," 23:05:00",0
"43","23/02/2019"," 23:10:00",0
"44","23/02/2019"," 23:15:00",0
"45","23/02/2019"," 23:20:00",0
"46","23/02/2019"," 23:25:00",0
"47","23/02/2019"," 23:30:00",0
"48","23/02/2019"," 23:35:00",0
"49","23/02/2019"," 23:40:00",0
"50","23/02/2019"," 23:45:00",0
"51","23/02/2019"," 23:50:00",0
"52","23/02/2019"," 23:55:00",0
"53","23/02/2019"," 24:00:00",0
"54","24/02/2019"," 00:05:00",0
"55","24/02/2019"," 00:10:00",0
"56","24/02/2019"," 00:15:00",0
"57","24/02/2019"," 00:20:00",0
"58","24/02/2019"," 00:25:00",0
"59","24/02/2019"," 00:30:00",0
"60","24/02/2019"," 00:35:00",0
"61","24/02/2019"," 00:40:00",0
"62","24/02/2019"," 00:45:00",0
"63","24/02/2019"," 00:50:00",0
"64","24/02/2019"," 00:55:00",0
"65","24/02/2019"," 01:00:00",0
"66","24/02/2019"," 01:05:00",0
"67","24/02/2019"," 01:10:00",0
"68","24/02/2019"," 01:15:00",0
"69","24/02/2019"," 01:20:00",0
"70","24/02/2019"," 01:25:00",0
"71","24/02/2019"," 01:30:00",0
"72","24/02/2019"," 01:35:00",0
"73","24/02/2019"," 01:40:00",0
"74","24/02/2019"," 01:45:00",0
"75","24/02/2019"," 01:50:00",0
"76","24/02/2019"," 01:55:00",0
"77","24/02/2019"," 02:00:00",0
"78","24/02/2019"," 02:05:00",0
"79","24/02/2019"," 02:10:00",0
"80","24/02/2019"," 02:15:00",0
"81","24/02/2019"," 02:20:00",0
"82","24/02/2019"," 02:25:00",0
"83","24/02/2019"," 02:30:00",0
"84","24/02/2019"," 02:35:00",0
"85","24/02/2019"," 02:40:00",0
"86","24/02/2019"," 02:45:00",0
"87","24/02/2019"," 02:50:00",0
"88","24/02/2019"," 02:55:00",0
"89","24/02/2019"," 03:00:00",0
"90","24/02/2019"," 03:05:00",0
"91","24/02/2019"," 03:10:00",0
"92","24/02/2019"," 03:15:00",0
"93","24/02/2019"," 03:20:00",0
"94","24/02/2019"," 03:25:00",0
"95","24/02/2019"," 03:30:00",0
"96","24/02/2019"," 03:35:00",0
"97","24/02/2019"," 03:40:00",0
"98","24/02/2019"," 03:45:00",0
"99","24/02/2019"," 03:50:00",0
"100","24/02/2019"," 03:55:00",0
"101","24/02/2019"," 04:00:00",0
"102","24/02/2019"," 04:05:00",0
"103","24/02/2019"," 04:10:00",0
"104","24/02/2019"," 04:15:00",0
"105","24/02/2019"," 04:20:00",0
"106","24/02/2019"," 04:25:00",0
"107","24/02/2019"," 04:30:00",0
"108","24/02/2019"," 04:35:00",0
"109","24/02/2019"," 04:40:00",0
"110","24/02/2019"," 04:45:00",0
"111","24/02/2019"," 04:50:00",0
"112","24/02/2019"," 04:55:00",0
"113","24/02/2019"," 05:00:00",0
"114","24/02/2019"," 05:05:00",0
"115","24/02/2019"," 05:10:00",0
"116","24/02/2019"," 05:15:00",0
"117","24/02/2019"," 05:20:00",0
"118","24/02/2019"," 05:25:00",0
"119","24/02/2019"," 05:30:00",0
"120","24/02/2019"," 05:35:00",0
"121","24/02/2019"," 05:40:00",0
"122","24/02/2019"," 05:45:00",0
"123","24/02/2019"," 05:50:00",0
"124","24/02/2019"," 05:55:00",0
"125","24/02/2019"," 06:00:00",0
"126","24/02/2019"," 06:05:00",0
"127","24/02/2019"," 06:10:00",0.9
"128","24/02/2019"," 06:15:00",3.2
"129","24/02/2019"," 06:20:00",5.9
"130","24/02/2019"," 06:25:00",10.9
"131","24/02/2019"," 06:30:00",15
"132","24/02/2019"," 06:35:00",20
"133","24/02/2019"," 06:40:00",25.4
"134","24/02/2019"," 06:45:00",30
"135","24/02/2019"," 06:50:00",34.5
"136","24/02/2019"," 06:55:00",37.7
"137","24/02/2019"," 07:00:00",52.2
"138","24/02/2019"," 07:05:00",69.5
"139","24/02/2019"," 07:10:00",89.4
"140","24/02/2019"," 07:15:00",109
"141","24/02/2019"," 07:20:00",69.5
"142","24/02/2019"," 07:25:00",69.9
"143","24/02/2019"," 07:30:00",131.2
"144","24/02/2019"," 07:35:00",148.9
"145","24/02/2019"," 07:40:00",94.4
"146","24/02/2019"," 07:45:00",101.7
"147","24/02/2019"," 07:50:00",136.7
"148","24/02/2019"," 07:55:00",164.8
"149","24/02/2019"," 08:00:00",133
"150","24/02/2019"," 08:05:00",163
"151","24/02/2019"," 08:10:00",173.9
"152","24/02/2019"," 08:15:00",195.2
"153","24/02/2019"," 08:20:00",572.9
"154","24/02/2019"," 08:25:00",597.5
"155","24/02/2019"," 08:30:00",366.4
"156","24/02/2019"," 08:35:00",508.9
"157","24/02/2019"," 08:40:00",469.9
"158","24/02/2019"," 08:45:00",255.1
"159","24/02/2019"," 08:50:00",285.6
"160","24/02/2019"," 08:55:00",235.6
"161","24/02/2019"," 09:00:00",304.2
"162","24/02/2019"," 09:05:00",331.9
"163","24/02/2019"," 09:10:00",350.5
"164","24/02/2019"," 09:15:00",326.9
"165","24/02/2019"," 09:20:00",297.8
"166","24/02/2019"," 09:25:00",343.2
"167","24/02/2019"," 09:30:00",304.2
"168","24/02/2019"," 09:35:00",299.6
"169","24/02/2019"," 09:40:00",318.7
"170","24/02/2019"," 09:45:00",352.3
"171","24/02/2019"," 09:50:00",479
"172","24/02/2019"," 09:55:00",976.1
"173","24/02/2019"," 10:00:00",1302.5
"174","24/02/2019"," 10:05:00",1346.5
"175","24/02/2019"," 10:10:00",1373.8
"176","24/02/2019"," 10:15:00",1328.8
"177","24/02/2019"," 10:20:00",1113.6
"178","24/02/2019"," 10:25:00",1554.9
"179","24/02/2019"," 10:30:00",1595.8
"180","24/02/2019"," 10:35:00",1539.5
"181","24/02/2019"," 10:40:00",1542.7
"182","24/02/2019"," 10:45:00",1721.1
"183","24/02/2019"," 10:50:00",1823.2
"184","24/02/2019"," 10:55:00",1733.8
"185","24/02/2019"," 11:00:00",571.1
"186","24/02/2019"," 11:05:00",344.1
"187","24/02/2019"," 11:10:00",843.5
"188","24/02/2019"," 11:15:00",1844.1
"189","24/02/2019"," 11:20:00",1864.5
"190","24/02/2019"," 11:25:00",1878.2
"191","24/02/2019"," 11:30:00",1901.3
"192","24/02/2019"," 11:35:00",1914.5
"193","24/02/2019"," 11:40:00",1930.8
"194","24/02/2019"," 11:45:00",1933.1
"195","24/02/2019"," 11:50:00",1954.9
"196","24/02/2019"," 11:55:00",1936.3
"197","24/02/2019"," 12:00:00",1968.1
"198","24/02/2019"," 12:05:00",1938.1
"199","24/02/2019"," 12:10:00",1726.5
"200","24/02/2019"," 12:15:00",912.5
"201","24/02/2019"," 12:20:00",1086.4
"202","24/02/2019"," 12:25:00",703.2
"203","24/02/2019"," 12:30:00",1988
"204","24/02/2019"," 12:35:00",1814.6
"205","24/02/2019"," 12:40:00",1666.6
"206","24/02/2019"," 12:45:00",1303.4
"207","24/02/2019"," 12:50:00",1871.8
"208","24/02/2019"," 12:55:00",1792.4
"209","24/02/2019"," 13:00:00",1878.2
"210","24/02/2019"," 13:05:00",1861.8
"211","24/02/2019"," 13:10:00",1838.7
"212","24/02/2019"," 13:15:00",1830.5
"213","24/02/2019"," 13:20:00",1815.1
"214","24/02/2019"," 13:25:00",1220.3
"215","24/02/2019"," 13:30:00",398.6
"216","24/02/2019"," 13:35:00",452.6
"217","24/02/2019"," 13:40:00",901.2
"218","24/02/2019"," 13:45:00",1680.2
"219","24/02/2019"," 13:50:00",911.6
"220","24/02/2019"," 13:55:00",954.7
"221","24/02/2019"," 14:00:00",888
"222","24/02/2019"," 14:05:00",967.9
"223","24/02/2019"," 14:10:00",1615.8
"224","24/02/2019"," 14:15:00",1594.4
"225","24/02/2019"," 14:20:00",1645.7
"226","24/02/2019"," 14:25:00",1508.6
"227","24/02/2019"," 14:30:00",700.5
"228","24/02/2019"," 14:35:00",331.9
"229","24/02/2019"," 14:40:00",316.9
"230","24/02/2019"," 14:45:00",306.4
"231","24/02/2019"," 14:50:00",321.9
"232","24/02/2019"," 14:55:00",325.5
"233","24/02/2019"," 15:00:00",301.9
"234","24/02/2019"," 15:05:00",305.5
"235","24/02/2019"," 15:10:00",439
"236","24/02/2019"," 15:15:00",504.8
"237","24/02/2019"," 15:20:00",405.4
"238","24/02/2019"," 15:25:00",290.6
"239","24/02/2019"," 15:30:00",367.3
"240","24/02/2019"," 15:35:00",686.4
"241","24/02/2019"," 15:40:00",988.8
"242","24/02/2019"," 15:45:00",885.3
"243","24/02/2019"," 15:50:00",648.8
"244","24/02/2019"," 15:55:00",262.9
"245","24/02/2019"," 16:00:00",217
"246","24/02/2019"," 16:05:00",165.7
"247","24/02/2019"," 16:10:00",154.8
"248","24/02/2019"," 16:15:00",171.6
"249","24/02/2019"," 16:20:00",178
"250","24/02/2019"," 16:25:00",183.9
"251","24/02/2019"," 16:30:00",141.6
"252","24/02/2019"," 16:35:00",165.7
"253","24/02/2019"," 16:40:00",139.4
"254","24/02/2019"," 16:45:00",120.3
"255","24/02/2019"," 16:50:00",112.1
"256","24/02/2019"," 16:55:00",112.1
"257","24/02/2019"," 17:00:00",114
"258","24/02/2019"," 17:05:00",160.7
"259","24/02/2019"," 17:10:00",129.8
"260","24/02/2019"," 17:15:00",177.1
"261","24/02/2019"," 17:20:00",145.7
"262","24/02/2019"," 17:25:00",109.9
"263","24/02/2019"," 17:30:00",109.9
"264","24/02/2019"," 17:35:00",169.8
"265","24/02/2019"," 17:40:00",171.6
"266","24/02/2019"," 17:45:00",101.2
"267","24/02/2019"," 17:50:00",80.8
"268","24/02/2019"," 17:55:00",134.8
"269","24/02/2019"," 18:00:00",119.9
"270","24/02/2019"," 18:05:00",75.4
"271","24/02/2019"," 18:10:00",66.7
"272","24/02/2019"," 18:15:00",54
"273","24/02/2019"," 18:20:00",42.2
"274","24/02/2019"," 18:25:00",35
"275","24/02/2019"," 18:30:00",31.3
"276","24/02/2019"," 18:35:00",27.7
"277","24/02/2019"," 18:40:00",23.6
"278","24/02/2019"," 18:45:00",18.6
"279","24/02/2019"," 18:50:00",11.8
"280","24/02/2019"," 18:55:00",5.9
"281","24/02/2019"," 19:00:00",3.2
"282","24/02/2019"," 19:05:00",1.4
"283","24/02/2019"," 19:10:00",0.5
"284","24/02/2019"," 19:15:00",0
"285","24/02/2019"," 19:20:00",0
"286","24/02/2019"," 19:25:00",0
"287","24/02/2019"," 19:30:00",0
"288","24/02/2019"," 19:35:00",0
"289","24/02/2019"," 19:40:00",0
"290","24/02/2019"," 19:45:00",0
"291","24/02/2019"," 19:50:00",0
"292","24/02/2019"," 19:55:00",0
"293","24/02/2019"," 20:00:00",0
"294","24/02/2019"," 20:05:00",0
"295","24/02/2019"," 20:10:00",0
"296","24/02/2019"," 20:15:00",0
"297","24/02/2019"," 20:20:00",0
"298","24/02/2019"," 20:25:00",0
"299","24/02/2019"," 20:30:00",0
"300","24/02/2019"," 20:35:00",0
"301","24/02/2019"," 20:40:00",0
"302","24/02/2019"," 20:45:00",0
"303","24/02/2019"," 20:50:00",0
"304","24/02/2019"," 20:55:00",0
"305","24/02/2019"," 21:00:00",0
"306","24/02/2019"," 21:05:00",0
"307","24/02/2019"," 21:10:00",0
"308","24/02/2019"," 21:15:00",0
"309","24/02/2019"," 21:20:00",0
"310","24/02/2019"," 21:25:00",0
"311","24/02/2019"," 21:30:00",0
"312","24/02/2019"," 21:35:00",0
"313","24/02/2019"," 21:40:00",0
"314","24/02/2019"," 21:45:00",0
"315","24/02/2019"," 21:50:00",0
"316","24/02/2019"," 21:55:00",0
"317","24/02/2019"," 22:00:00",0
"318","24/02/2019"," 22:05:00",0
"319","24/02/2019"," 22:10:00",0
"320","24/02/2019"," 22:15:00",0
"321","24/02/2019"," 22:20:00",0
"322","24/02/2019"," 22:25:00",0
"323","24/02/2019"," 22:30:00",0
"324","24/02/2019"," 22:35:00",0
"325","24/02/2019"," 22:40:00",0
"326","24/02/2019"," 22:45:00",0
"327","24/02/2019"," 22:50:00",0
"328","24/02/2019"," 22:55:00",0
"329","24/02/2019"," 23:00:00",0
"330","24/02/2019"," 23:05:00",0
"331","24/02/2019"," 23:10:00",0
"332","24/02/2019"," 23:15:00",0
"333","24/02/2019"," 23:20:00",0
"334","24/02/2019"," 23:25:00",0
"335","24/02/2019"," 23:30:00",0
"336","24/02/2019"," 23:35:00",0
"337","24/02/2019"," 23:40:00",0
"338","24/02/2019"," 23:45:00",0
"339","24/02/2019"," 23:50:00",0
"340","24/02/2019"," 23:55:00",0
"341","24/02/2019"," 24:00:00",0
"342","25/02/2019"," 00:05:00",0
"343","25/02/2019"," 00:10:00",0
"344","25/02/2019"," 00:15:00",0
"345","25/02/2019"," 00:20:00",0
"346","25/02/2019"," 00:25:00",0
"347","25/02/2019"," 00:30:00",0
"348","25/02/2019"," 00:35:00",0
"349","25/02/2019"," 00:40:00",0
"350","25/02/2019"," 00:45:00",0
"351","25/02/2019"," 00:50:00",0
"352","25/02/2019"," 00:55:00",0
"353","25/02/2019"," 01:00:00",0
"354","25/02/2019"," 01:05:00",0
"355","25/02/2019"," 01:10:00",0
"356","25/02/2019"," 01:15:00",0
"357","25/02/2019"," 01:20:00",0
"358","25/02/2019"," 01:25:00",0
"359","25/02/2019"," 01:30:00",0
"360","25/02/2019"," 01:35:00",0
"361","25/02/2019"," 01:40:00",0
"362","25/02/2019"," 01:45:00",0
"363","25/02/2019"," 01:50:00",0
"364","25/02/2019"," 01:55:00",0
"365","25/02/2019"," 02:00:00",0
"366","25/02/2019"," 02:05:00",0
"367","25/02/2019"," 02:10:00",0
"368","25/02/2019"," 02:15:00",0
"369","25/02/2019"," 02:20:00",0
"370","25/02/2019"," 02:25:00",0
"371","25/02/2019"," 02:30:00",0
"372","25/02/2019"," 02:35:00",0
"373","25/02/2019"," 02:40:00",0
"374","25/02/2019"," 02:45:00",0
"375","25/02/2019"," 02:50:00",0
"376","25/02/2019"," 02:55:00",0
"377","25/02/2019"," 03:00:00",0
"378","25/02/2019"," 03:05:00",0
"379","25/02/2019"," 03:10:00",0
"380","25/02/2019"," 03:15:00",0
"381","25/02/2019"," 03:20:00",0
"382","25/02/2019"," 03:25:00",0
"383","25/02/2019"," 03:30:00",0
"384","25/02/2019"," 03:35:00",0
"385","25/02/2019"," 03:40:00",0
"386","25/02/2019"," 03:45:00",0
"387","25/02/2019"," 03:50:00",0
"388","25/02/2019"," 03:55:00",0
"389","25/02/2019"," 04:00:00",0
"390","25/02/2019"," 04:05:00",0
"391","25/02/2019"," 04:10:00",0
"392","25/02/2019"," 04:15:00",0
"393","25/02/2019"," 04:20:00",0
"394","25/02/2019"," 04:25:00",0
"395","25/02/2019"," 04:30:00",0
"396","25/02/2019"," 04:35:00",0
"397","25/02/2019"," 04:40:00",0
"398","25/02/2019"," 04:45:00",0
"399","25/02/2019"," 04:50:00",0
"400","25/02/2019"," 04:55:00",0
"401","25/02/2019"," 05:00:00",0
"402","25/02/2019"," 05:05:00",0
"403","25/02/2019"," 05:10:00",0
"404","25/02/2019"," 05:15:00",0
"405","25/02/2019"," 05:20:00",0
"406","25/02/2019"," 05:25:00",0
"407","25/02/2019"," 05:30:00",0
"408","25/02/2019"," 05:35:00",0
"409","25/02/2019"," 05:40:00",0
"410","25/02/2019"," 05:45:00",0
"411","25/02/2019"," 05:50:00",0
"412","25/02/2019"," 05:55:00",0
"413","25/02/2019"," 06:00:00",0
"414","25/02/2019"," 06:05:00",0
"415","25/02/2019"," 06:10:00",0.9
"416","25/02/2019"," 06:15:00",2.3
"417","25/02/2019"," 06:20:00",4.5
"418","25/02/2019"," 06:25:00",8.6
