"","Day","Treatment","Tank","Date","Flow","Y_1","Y_2","Y_3"
"1",1,"AMB",1,"04.03.19","Low",0.599,0.596333333333333,0.618666666666667
"2",3,"AMB",1,"06.03.19","Low",0.586333333333333,0.588333333333333,0.575333333333333
"3",5,"AMB",1,"08.03.19","Low",0.612,0.633666666666667,0.596
"4",6,"AMB",1,"09.03.19","Low",0.586333333333333,0.612333333333333,0.611666666666667
"5",7,"AMB",1,"10.03.19","Low",0.575333333333333,0.596666666666667,0.606
"6",1,"AMB",2,"04.03.19","Low",0.595666666666667,0.580333333333333,0.596
"7",3,"AMB",2,"06.03.19","Low",0.575333333333333,0.596666666666667,0.606
"8",5,"AMB",2,"08.03.19","Low",0.578333333333333,0.585,0.583666666666667
"9",6,"AMB",2,"09.03.19","Low",0.546666666666667,0.570333333333333,0.576
"10",7,"AMB",2,"10.03.19","Low",0.501666666666667,0.587666666666667,0.581666666666667
"11",1,"HT",1,"04.03.19","Low",0.577666666666667,0.580666666666667,0.624666666666667
"12",3,"HT",1,"06.03.19","Low",0.617,0.611666666666667,0.607666666666667
"13",5,"HT",1,"08.03.19","Low",0.572333333333333,0.603,0.583333333333333
"14",6,"HT",1,"09.03.19","Low",0.582666666666667,0.619333333333333,0.590333333333333
"15",7,"HT",1,"10.03.19","Low",0.593333333333333,0.581666666666667,0.576666666666667
"16",1,"HT",2,"04.03.19","Low",0.598333333333333,0.604666666666667,0.596333333333333
"17",3,"HT",2,"06.03.19","Low",0.609,0.597666666666667,0.619333333333333
"18",6,"HT",2,"09.03.19","Low",0.596,0.582,0.572
"19",7,"HT",2,"10.03.19","Low",0.578,0.568666666666667,0.569
"20",8,"AMB",1,"11.03.19","Low",0.501,0.561666666666667,0.542333333333333
"21",8,"AMB",2,"11.03.19","Low",0.545666666666667,0.563333333333333,0.570666666666667
"22",8,"HT",1,"11.03.19","Low",0.528,0.593333333333333,0.568666666666667
"23",8,"HT",2,"11.03.19","Low",0.539333333333333,0.567333333333333,0.531
"24",9,"AMB",1,"12.03.19","Low",0.609,0.617,0.607333333333333
"25",9,"AMB",2,"12.03.19","Low",0.583,0.600666666666667,0.584666666666667
"26",9,"HT",1,"12.03.19","Low",0.476666666666667,0.477333333333333,0.395333333333333
"27",9,"HT",2,"12.03.19","Low",0.525666666666667,0.554333333333333,0.562333333333333
"28",10,"AMB",1,"13.03.19","Low",0.58,0.552333333333333,0.592666666666667
"29",10,"AMB",2,"13.03.19","Low",0.579,0.558,0.557
"30",10,"HT",1,"13.03.19","Low",0.577666666666667,0.562666666666667,0.558
"31",10,"HT",2,"13.03.19","Low",0.548666666666667,0.569,0.57
"32",11,"AMB",1,"14.03.19","Low",0.610333333333333,0.576666666666667,0.617333333333333
