"","Day","Treatment","Tank","Flow","Coral","average_yield"
"1",1,"AMB","1","Low","Y_1",0.599
"2",3,"AMB","1","Low","Y_1",0.586333333333333
"3",5,"AMB","1","Low","Y_1",0.612
"4",6,"AMB","1","Low","Y_1",0.586333333333333
"5",7,"AMB","1","Low","Y_1",0.575333333333333
"6",1,"AMB","2","Low","Y_1",0.595666666666667
"7",3,"AMB","2","Low","Y_1",0.575333333333333
"8",5,"AMB","2","Low","Y_1",0.578333333333333
"9",6,"AMB","2","Low","Y_1",0.546666666666667
"10",7,"AMB","2","Low","Y_1",0.501666666666667
"11",1,"HT","1","Low","Y_1",0.577666666666667
"12",3,"HT","1","Low","Y_1",0.617
"13",5,"HT","1","Low","Y_1",0.572333333333333
"14",6,"HT","1","Low","Y_1",0.582666666666667
"15",7,"HT","1","Low","Y_1",0.593333333333333
"16",1,"HT","2","Low","Y_1",0.598333333333333
"17",3,"HT","2","Low","Y_1",0.609
"18",6,"HT","2","Low","Y_1",0.596
"19",7,"HT","2","Low","Y_1",0.578
"20",8,"AMB","1","Low","Y_1",0.501
"21",8,"AMB","2","Low","Y_1",0.545666666666667
"22",8,"HT","1","Low","Y_1",0.528
"23",8,"HT","2","Low","Y_1",0.539333333333333
"24",9,"AMB","1","Low","Y_1",0.609
"25",9,"AMB","2","Low","Y_1",0.583
"26",9,"HT","1","Low","Y_1",0.476666666666667
"27",9,"HT","2","Low","Y_1",0.525666666666667
"28",10,"AMB","1","Low","Y_1",0.58
"29",10,"AMB","2","Low","Y_1",0.579
"30",10,"HT","1","Low","Y_1",0.577666666666667
"31",10,"HT","2","Low","Y_1",0.548666666666667
"32",11,"AMB","1","Low","Y_1",0.610333333333333
"33",11,"AMB","2","Low","Y_1",0.572333333333333
"34",11,"HT","1","Low","Y_1",0.575
"35",11,"HT","2","Low","Y_1",0.568666666666667
"36",12,"AMB","1","Low","Y_1",0.593
"37",12,"AMB","2","Low","Y_1",0.598
"38",12,"HT","1","Low","Y_1",0.478
"39",12,"HT","2","Low","Y_1",0.577333333333333
"40",13,"AMB","1","Low","Y_1",0.588666666666667
"41",13,"AMB","2","Low","Y_1",0.610333333333333
"42",13,"HT","1","Low","Y_1",0.597333333333333
"43",13,"HT","2","Low","Y_1",0.612333333333333
"44",14,"AMB","1","Low","Y_1",0.592333333333333
"45",14,"AMB","2","Low","Y_1",0.566333333333333
"46",14,"HT","1","Low","Y_1",0.534666666666667
"47",14,"HT","2","Low","Y_1",0.588
"48",15,"AMB","1","Low","Y_1",0.619333333333333
"49",15,"AMB","2","Low","Y_1",0.606333333333333
"50",15,"HT","1","Low","Y_1",0.518
"51",15,"HT","2","Low","Y_1",0.497333333333333
"52",16,"AMB","1","Low","Y_1",0.604333333333333
"53",16,"AMB","2","Low","Y_1",0.605666666666667
"54",16,"HT","1","Low","Y_1",0.201666666666667
"55",16,"HT","2","Low","Y_1",0.396
"56",17,"AMB","1","Low","Y_1",0.603333333333333
"57",17,"AMB","2","Low","Y_1",0.613333333333333
"58",17,"HT","1","Low","Y_1",0.332666666666667
"59",17,"HT","2","Low","Y_1",0.354666666666667
"60",18,"AMB","1","Low","Y_1",0.608333333333333
"61",18,"AMB","2","Low","Y_1",0.529333333333333
"62",18,"HT","1","Low","Y_1",0.244333333333333
"63",18,"HT","2","Low","Y_1",0.175
"64",19,"AMB","1","Low","Y_1",0.579666666666667
"65",19,"AMB","2","Low","Y_1",0.564333333333333
"66",19,"HT","1","Low","Y_1",0.221666666666667
"67",19,"HT","2","Low","Y_1",0.259333333333333
"68",20,"HT","1","Low","Y_1",0.179
"69",20,"HT","2","Low","Y_1",0.175666666666667
"70",20,"AMB","1","Low","Y_1",0.614
"71",20,"AMB","2","Low","Y_1",0.61
"72",1,"AMB","1","High","Y_1",0.588
"73",3,"AMB","1","High","Y_1",0.574
"74",5,"AMB","1","High","Y_1",0.606333333333333
"75",6,"AMB","1","High","Y_1",0.587666666666667
"76",7,"AMB","1","High","Y_1",0.582333333333333
"77",1,"AMB","2","High","Y_1",0.629
"78",3,"AMB","2","High","Y_1",0.582333333333333
"79",5,"AMB","2","High","Y_1",0.626666666666667
"80",6,"AMB","2","High","Y_1",0.601333333333333
"81",7,"AMB","2","High","Y_1",0.610666666666667
"82",1,"HT","1","High","Y_1",0.608333333333333
"83",3,"HT","1","High","Y_1",0.628666666666667
"84",5,"HT","1","High","Y_1",0.573333333333333
"85",6,"HT","1","High","Y_1",0.603333333333333
"86",7,"HT","1","High","Y_1",0.609333333333333
"87",1,"HT","2","High","Y_1",0.628
"88",3,"HT","2","High","Y_1",0.621
"89",6,"HT","2","High","Y_1",0.619666666666667
"90",7,"HT","2","High","Y_1",0.576333333333333
"91",8,"AMB","1","High","Y_1",0.54
"92",8,"AMB","2","High","Y_1",0.588666666666667
"93",8,"HT","1","High","Y_1",0.573333333333333
"94",8,"HT","2","High","Y_1",0.564333333333333
"95",9,"AMB","1","High","Y_1",0.602333333333333
"96",9,"AMB","2","High","Y_1",0.628333333333333
"97",9,"HT","1","High","Y_1",0.454666666666667
"98",9,"HT","2","High","Y_1",0.596666666666667
"99",10,"AMB","1","High","Y_1",0.56
"100",10,"AMB","2","High","Y_1",0.596
"101",10,"HT","1","High","Y_1",0.540666666666667
"102",10,"HT","2","High","Y_1",0.584666666666667
"103",11,"AMB","1","High","Y_1",0.584333333333333
"104",11,"AMB","2","High","Y_1",0.613666666666667
"105",11,"HT","1","High","Y_1",0.559
"106",11,"HT","2","High","Y_1",0.593666666666667
"107",12,"AMB","1","High","Y_1",0.569666666666667
"108",12,"AMB","2","High","Y_1",0.625
"109",12,"HT","1","High","Y_1",0.576666666666667
"110",12,"HT","2","High","Y_1",0.588666666666667
"111",13,"AMB","1","High","Y_1",0.595666666666667
"112",13,"AMB","2","High","Y_1",0.630666666666667
"113",13,"HT","1","High","Y_1",0.53
"114",13,"HT","2","High","Y_1",0.598333333333333
"115",14,"AMB","1","High","Y_1",0.589666666666667
"116",14,"AMB","2","High","Y_1",0.611333333333333
"117",14,"HT","1","High","Y_1",0.484
"118",14,"HT","2","High","Y_1",0.452
"119",15,"AMB","1","High","Y_1",0.582
"120",15,"AMB","2","High","Y_1",0.608333333333333
"121",15,"HT","1","High","Y_1",0.498333333333333
"122",15,"HT","2","High","Y_1",0.575666666666667
"123",16,"AMB","1","High","Y_1",0.628333333333333
"124",16,"AMB","2","High","Y_1",0.632666666666667
"125",16,"HT","1","High","Y_1",0.485
"126",16,"HT","2","High","Y_1",0.542333333333333
"127",17,"AMB","1","High","Y_1",0.588333333333333
"128",17,"AMB","2","High","Y_1",0.625666666666667
"129",17,"HT","1","High","Y_1",0.474666666666667
"130",17,"HT","2","High","Y_1",0.573666666666667
"131",18,"AMB","1","High","Y_1",0.597666666666667
"132",18,"AMB","2","High","Y_1",0.617
"133",18,"HT","1","High","Y_1",0.340333333333333
"134",18,"HT","2","High","Y_1",0.534666666666667
"135",19,"AMB","1","High","Y_1",0.604
"136",19,"AMB","2","High","Y_1",0.597666666666667
