"","Time.point","Treatment","Tank","Flow","Coral","H_run","n","Count"
"1",1,"AMB",1,"High",2,1,1,28
"2",1,"AMB",1,"High",2,1,2,19
"3",1,"AMB",1,"High",2,1,3,30
"4",1,"AMB",1,"High",2,2,1,36
"5",1,"AMB",1,"High",2,2,2,27
"6",1,"AMB",1,"High",2,2,3,26
"7",1,"AMB",1,"High",2,3,1,30
"8",1,"AMB",1,"High",2,3,2,27
"9",1,"AMB",1,"High",2,3,3,15
"10",1,"AMB",1,"High",3,1,1,12
"11",1,"AMB",1,"High",3,1,2,16
"12",1,"AMB",1,"High",3,1,3,14
"13",1,"AMB",1,"High",3,2,1,21
"14",1,"AMB",1,"High",3,2,2,16
"15",1,"AMB",1,"High",3,2,3,13
"16",1,"AMB",1,"High",3,3,1,18
"17",1,"AMB",1,"High",3,3,2,15
"18",1,"AMB",1,"High",3,3,3,18
"19",1,"AMB",1,"High",2,4,1,30
"20",1,"AMB",1,"High",2,4,2,21
"21",1,"AMB",1,"High",2,4,3,27
"22",1,"AMB",1,"High",2,5,1,28
"23",1,"AMB",1,"High",2,5,2,23
"24",1,"AMB",1,"High",2,5,3,20
"25",1,"AMB",1,"High",2,6,1,13
"26",1,"AMB",1,"High",2,6,2,16
"27",1,"AMB",1,"High",2,6,3,16
"28",1,"AMB",1,"High",3,4,1,7
"29",1,"AMB",1,"High",3,4,2,11
"30",1,"AMB",1,"High",3,4,3,11
"31",1,"AMB",1,"High",3,5,1,10
"32",1,"AMB",1,"High",3,5,2,11
"33",1,"AMB",1,"High",3,5,3,11
"34",1,"AMB",1,"High",3,6,1,13
"35",1,"AMB",1,"High",3,6,2,13
"36",1,"AMB",1,"High",3,6,3,15
"37",1,"AMB",1,"Low",3,1,1,12
"38",1,"AMB",1,"Low",3,1,2,15
"39",1,"AMB",1,"Low",3,1,3,15
"40",1,"AMB",1,"Low",3,2,1,9
"41",1,"AMB",1,"Low",3,2,2,17
"42",1,"AMB",1,"Low",3,2,3,12
"43",1,"AMB",1,"Low",3,3,1,17
"44",1,"AMB",1,"Low",3,3,2,10
"45",1,"AMB",1,"Low",3,3,3,16
"46",1,"AMB",1,"Low",3,4,1,13
"47",1,"AMB",1,"Low",3,4,2,16
"48",1,"AMB",1,"Low",3,4,3,17
"49",1,"AMB",1,"Low",3,5,1,12
"50",1,"AMB",1,"Low",3,5,2,15
"51",1,"AMB",1,"Low",3,5,3,7
"52",1,"AMB",1,"Low",3,6,1,14
"53",1,"AMB",1,"Low",3,6,2,14
"54",1,"AMB",1,"Low",3,6,3,9
"55",1,"AMB",2,"High",3,1,1,11
"56",1,"AMB",2,"High",3,1,2,12
"57",1,"AMB",2,"High",3,1,3,16
"58",1,"AMB",2,"High",3,2,1,16
"59",1,"AMB",2,"High",3,2,2,15
"60",1,"AMB",2,"High",3,2,3,13
"61",1,"AMB",2,"High",3,3,1,13
"62",1,"AMB",2,"High",3,3,2,8
"63",1,"AMB",2,"High",3,3,3,13
"64",1,"AMB",2,"High",3,4,1,11
"65",1,"AMB",2,"High",3,4,2,13
"66",1,"AMB",2,"High",3,4,3,10
"67",1,"AMB",2,"High",3,5,1,20
"68",1,"AMB",2,"High",3,5,2,15
"69",1,"AMB",2,"High",3,5,3,20
"70",1,"AMB",2,"High",3,6,1,17
"71",1,"AMB",2,"High",3,6,2,13
"72",1,"AMB",2,"High",3,6,3,11
"73",1,"AMB",1,"Low",1,1,1,12
"74",1,"AMB",1,"Low",1,1,2,11
"75",1,"AMB",1,"Low",1,1,3,8
"76",1,"AMB",1,"Low",1,2,1,15
"77",1,"AMB",1,"Low",1,2,2,15
"78",1,"AMB",1,"Low",1,2,3,13
"79",1,"AMB",1,"Low",1,3,1,10
"80",1,"AMB",1,"Low",1,3,2,14
"81",1,"AMB",1,"Low",1,3,3,8
"82",1,"AMB",1,"Low",1,4,1,10
"83",1,"AMB",1,"Low",1,4,2,16
"84",1,"AMB",1,"Low",1,4,3,11
"85",1,"AMB",1,"Low",1,5,1,10
"86",1,"AMB",1,"Low",1,5,2,9
"87",1,"AMB",1,"Low",1,5,3,7
"88",1,"AMB",1,"Low",1,6,1,12
"89",1,"AMB",1,"Low",1,6,2,16
"90",1,"AMB",1,"Low",1,6,3,22
"91",1,"AMB",1,"Low",2,1,1,5
