"","Time.point","Treatment","Tank","Flow","Coral","W1..g.","W2..g.","W2.W1..g.","S.A...cm2..est."
"1",1,"AMB",1,"Low",1,5.9,6.64,0.74,16.48868
"2",1,"AMB",1,"Low",2,2.973,3.462,0.489,10.895898
"3",1,"AMB",1,"Low",3,5.833,6.556,0.723,16.109886
"4",1,"AMB",1,"High",2,10.367,11.709,1.342,29.902444
"5",1,"AMB",1,"High",3,6.129,7.106,0.977,21.769514
"6",1,"AMB",2,"Low",1,5.171,5.982,0.811,18.070702
"7",1,"AMB",2,"Low",2,5.423,6.668,1.245,27.74109
"8",1,"AMB",2,"Low",3,5.192,6.19,0.998,22.237436
"9",1,"AMB",2,"High",1,8.482,9.741,1.259,28.053038
"10",1,"AMB",2,"High",2,6.653,7.641,0.988,22.014616
"11",1,"AMB",2,"High",3,4.327,5.122,0.795,17.71419
"12",1,"HT",1,"Low",1,3.5,4.201,0.701,15.619682
"13",1,"HT",1,"Low",2,6.28,7.129,0.849,18.917418
"14",1,"HT",1,"Low",3,3.442,4.013,0.571,12.723022
"15",1,"HT",1,"High",1,5.364,5.971,0.607,13.525174
"16",1,"HT",1,"High",2,5.554,6.399,0.845,18.82829
"17",1,"HT",1,"High",3,5.407,6.234,0.827,18.427214
"18",1,"HT",2,"Low",1,9.668,10.74,1.072,23.886304
"19",1,"HT",2,"Low",2,3.169,3.709,0.54,12.03228
"20",1,"HT",2,"Low",3,7.115,8.06,0.945,21.05649
"21",1,"HT",2,"High",1,7.121,8.037,0.916,20.410312
"22",1,"HT",2,"High",2,3.477,4.117,0.64,14.26048
"23",1,"HT",2,"High",3,8.943,9.933,0.99,22.05918
"24",2,"AMB",1,"Low",1,7.168,8.048,0.88,19.60816
"25",2,"AMB",1,"Low",2,7.846,8.82,0.974,21.702668
"26",2,"AMB",1,"Low",3,7.759,8.863,1.104,24.599328
"27",2,"AMB",1,"High",1,5.542,6.334,0.792,17.647344
"28",2,"AMB",1,"High",2,11.065,12.455,1.39,30.97198
"29",2,"AMB",1,"High",3,11.206,12.553,1.347,30.013854
"30",2,"AMB",2,"Low",1,3.448,4.066,0.618,13.770276
"31",2,"AMB",2,"Low",2,8.452,9.405,0.953,21.234746
"32",2,"AMB",2,"Low",3,5.009,5.803,0.794,17.691908
"33",2,"AMB",2,"High",1,4.537,5.305,0.768,17.112576
"34",2,"AMB",2,"High",2,5.265,6.219,0.954,21.257028
"35",2,"AMB",2,"High",3,10.344,11.843,1.499,33.400718
"36",2,"HT",1,"Low",1,10.3,11.608,1.308,29.144856
"37",2,"HT",1,"Low",2,4.005,4.729,0.724,16.132168
"38",2,"HT",1,"Low",3,3.942,4.573,0.631,14.059942
"39",2,"HT",1,"High",1,11.961,13.236,1.275,28.40955
"40",2,"HT",1,"High",2,8.965,10.476,1.511,33.668102
"41",2,"HT",1,"High",3,11.081,12.667,1.586,35.339252
"42",2,"HT",2,"Low",1,5.657,6.606,0.949,21.145618
"43",2,"HT",2,"Low",2,8.732,9.753,1.021,22.749922
"44",2,"HT",2,"Low",3,5.402,6.209,0.807,17.981574
"45",2,"HT",2,"High",1,7.809,8.936,1.127,25.111814
"46",2,"HT",2,"High",2,7.36,8.193,0.833,18.560906
"47",2,"HT",2,"High",3,9.17,10.222,1.052,23.440664
