"","Day","Trajectory","Flow","Treatment","Tank..","Coral","F0","Fm","Yield"
"1",1,"Control","High","Control High","1","F..1",0.15834,0.41108,0.615
"2",1,"Control","High","Control High","1","F..2",0.15334,0.3919,0.608
"3",1,"Control","High","Control High","1","F..3",0.16804,0.44158,0.6192
"4",1,"Control","High","Control High","2","F..1",0.16108,0.3248,0.5014
"5",1,"Control","High","Control High","2","F..2",0.1609,0.42264,0.6184
"6",1,"Control","High","Control High","2","F..3",0.165,0.40224,0.5868
"7",1,"Control","Low","Control Low","1","F..1",0.16402,0.32988,0.5002
"8",1,"Control","Low","Control Low","1","F..2",0.16314,0.43206,0.6218
"9",1,"Control","Low","Control Low","1","F..3",0.15492,0.40138,0.6142
"10",1,"Control","Low","Control Low","2","F..1",0.14342,0.35538,0.5942
"11",1,"Control","Low","Control Low","2","F..2",0.1554,0.38578,0.5958
"12",1,"Control","Low","Control Low","2","F..3",0.15264,0.39462,0.6112
"13",1,"Protective","High","Protective High","1","F..1",0.14242,0.37932,0.6238
"14",1,"Protective","High","Protective High","1","F..2",0.13008,0.33616,0.6122
"15",1,"Protective","High","Protective High","1","F..3",0.14684,0.38214,0.6154
"16",1,"Protective","High","Protective High","2","F..1",0.15198,0.40266,0.6214
"17",1,"Protective","High","Protective High","2","F..2",0.1294,0.31884,0.5938
"18",1,"Protective","High","Protective High","2","F..3",0.1397,0.3444,0.594
"19",1,"Protective","Low","Protective Low","1","F..1",0.16276,0.37022,0.5604
"20",1,"Protective","Low","Protective Low","1","F..2",0.1653,0.42412,0.6098
"21",1,"Protective","Low","Protective Low","1","F..3",0.14068,0.34324,0.5898
"22",1,"Protective","Low","Protective Low","2","F..1",0.14764,0.37258,0.6018
"23",1,"Protective","Low","Protective Low","2","F..2",0.1598,0.40492,0.6048
"24",1,"Protective","Low","Protective Low","2","F..3",0.15314,0.3652,0.5804
"25",1,"Single","High","Single High","1","F..1",0.14596,0.30286,0.5158
"26",1,"Single","High","Single High","1","F..2",0.15674,0.36912,0.5694
"27",1,"Single","High","Single High","1","F..3",0.16138,0.37768,0.571
"28",1,"Single","High","Single High","2","F..1",0.16756,0.33942,0.5022
"29",1,"Single","High","Single High","2","F..2",0.17286,0.35342,0.4998
"30",1,"Single","High","Single High","2","F..3",0.16706,0.4061,0.5848
"31",1,"Single","Low","Single Low","1","F..1",0.19334,0.36784,0.4706
"32",1,"Single","Low","Single Low","1","F..2",0.15706,0.37138,0.5754
"33",1,"Single","Low","Single Low","1","F..3",0.16634,0.34186,0.5058
"34",1,"Single","Low","Single Low","2","F..1",0.18948,0.49528,0.6174
"35",1,"Single","Low","Single Low","2","F..2",0.1746,0.38598,0.5458
"36",1,"Single","Low","Single Low","2","F..3",0.17018,0.40686,0.58
"37",2,"Control","High","Control High","1","F..1",0.1548,0.43166,0.6412
"38",2,"Control","High","Control High","1","F..2",0.16168,0.43646,0.6298
"39",2,"Control","High","Control High","1","F..3",0.1649,0.46548,0.6458
"40",2,"Control","High","Control High","2","F..1",0.16274,0.3488,0.5332
"41",2,"Control","High","Control High","2","F..2",0.15302,0.43792,0.6506
"42",2,"Control","High","Control High","2","F..3",0.15088,0.41186,0.6312
"43",2,"Control","Low","Control Low","1","F..1",0.17648,0.35488,0.499
"44",2,"Control","Low","Control Low","1","F..2",0.17364,0.4506,0.6148
"45",2,"Control","Low","Control Low","1","F..3",0.1402,0.38088,0.6316
"46",2,"Control","Low","Control Low","2","F..1",0.14224,0.38146,0.627
"47",2,"Control","Low","Control Low","2","F..2",0.15796,0.42942,0.6318
"48",2,"Control","Low","Control Low","2","F..3",0.15334,0.4214,0.6342
"49",2,"Protective","High","Protective High","1","F..1",0.15256,0.42814,0.6434
"50",2,"Protective","High","Protective High","1","F..2",0.13254,0.35344,0.6246
"51",2,"Protective","High","Protective High","1","F..3",0.1396,0.36648,0.619
"52",2,"Protective","High","Protective High","2","F..1",0.16174,0.44244,0.6338
"53",2,"Protective","High","Protective High","2","F..2",0.12836,0.33734,0.6192
"54",2,"Protective","High","Protective High","2","F..3",0.146,0.38178,0.6176
"55",2,"Protective","Low","Protective Low","1","F..1",0.16146,0.4001,0.5966
"56",2,"Protective","Low","Protective Low","1","F..2",0.17286,0.46784,0.6304
"57",2,"Protective","Low","Protective Low","1","F..3",0.14452,0.36362,0.6026
"58",2,"Protective","Low","Protective Low","2","F..1",0.13402,0.37128,0.6384
"59",2,"Protective","Low","Protective Low","2","F..2",0.1403,0.38128,0.6318
"60",2,"Protective","Low","Protective Low","2","F..3",0.14656,0.39568,0.6296
"61",2,"Single","High","Single High","1","F..1",0.14892,0.3391,0.5618
"62",2,"Single","High","Single High","1","F..2",0.15656,0.38216,0.5826
"63",2,"Single","High","Single High","1","F..3",0.15462,0.39736,0.6102
"64",2,"Single","High","Single High","2","F..1",0.16108,0.41226,0.6066
"65",2,"Single","High","Single High","2","F..2",0.16098,0.3894,0.5818
"66",2,"Single","High","Single High","2","F..3",0.17352,0.38148,0.5418
"67",2,"Single","Low","Single Low","1","F..1",0.16962,0.445,0.617
"68",2,"Single","Low","Single Low","1","F..2",0.16062,0.3901,0.5864
"69",2,"Single","Low","Single Low","1","F..3",0.17922,0.40648,0.555
"70",2,"Single","Low","Single Low","2","F..1",0.15626,0.43048,0.6372
"71",2,"Single","Low","Single Low","2","F..2",0.14422,0.37716,0.6148
"72",2,"Single","Low","Single Low","2","F..3",0.17284,0.4397,0.6062
"73",3,"Control","High","Control High","1","F..1",0.1456,0.37294,0.6094
"74",3,"Control","High","Control High","1","F..2",0.14794,0.38322,0.613
"75",3,"Control","High","Control High","1","F..3",0.15892,0.41628,0.6182
"76",3,"Control","High","Control High","2","F..1",0.16108,0.34578,0.5334
"77",3,"Control","High","Control High","2","F..2",0.15532,0.40148,0.6132
"78",3,"Control","High","Control High","2","F..3",0.16726,0.42078,0.602
"79",3,"Control","Low","Control Low","1","F..1",0.14618,0.34126,0.5682
"80",3,"Control","Low","Control Low","1","F..2",0.15234,0.40376,0.6232
"81",3,"Control","Low","Control Low","1","F..3",0.14988,0.39618,0.6212
"82",3,"Control","Low","Control Low","2","F..1",0.14874,0.39078,0.6184
"83",3,"Control","Low","Control Low","2","F..2",0.15872,0.40012,0.603
"84",3,"Control","Low","Control Low","2","F..3",0.15772,0.38744,0.5924
"85",3,"Protective","High","Protective High","1","F..1",0.14598,0.3952,0.6308
"86",3,"Protective","High","Protective High","1","F..2",0.12284,0.33394,0.6308
"87",3,"Protective","High","Protective High","1","F..3",0.13108,0.36696,0.6418
"88",3,"Protective","High","Protective High","2","F..1",0.1706,0.3655,0.532
"89",3,"Protective","High","Protective High","2","F..2",0.14146,0.37444,0.6222
"90",3,"Protective","High","Protective High","2","F..3",0.14658,0.34872,0.5796
"91",3,"Protective","Low","Protective Low","1","F..1",0.15106,0.41236,0.6316
"92",3,"Protective","Low","Protective Low","1","F..2",0.18892,0.451,0.5808
"93",3,"Protective","Low","Protective Low","1","F..3",0.141,0.35176,0.599
"94",3,"Protective","Low","Protective Low","2","F..1",0.13194,0.33616,0.606
"95",3,"Protective","Low","Protective Low","2","F..2",0.1596,0.32472,0.5084
"96",3,"Protective","Low","Protective Low","2","F..3",0.17528,0.41206,0.5736
"97",3,"Single","High","Single High","1","F..1",0.14944,0.3198,0.5294
"98",3,"Single","High","Single High","1","F..2",0.16156,0.37968,0.5712
"99",3,"Single","High","Single High","1","F..3",0.16,0.37882,0.5756
"100",3,"Single","High","Single High","2","F..1",0.17146,0.3734,0.5392
"101",3,"Single","High","Single High","2","F..2",0.17266,0.3803,0.542
"102",3,"Single","High","Single High","2","F..3",0.14874,0.3357,0.5514
"103",3,"Single","Low","Single Low","1","F..1",0.20156,0.40234,0.4972
"104",3,"Single","Low","Single Low","1","F..2",0.14078,0.34714,0.594
"105",3,"Single","Low","Single Low","1","F..3",0.18854,0.38118,0.5044
"106",3,"Single","Low","Single Low","2","F..1",0.16274,0.40382,0.597
"107",3,"Single","Low","Single Low","2","F..2",0.15372,0.3651,0.5778
"108",3,"Single","Low","Single Low","2","F..3",0.17234,0.40922,0.577
"109",4,"Control","High","Control High","1","F..1",0.14854,0.43216,0.6564
"110",4,"Control","High","Control High","1","F..2",0.15274,0.40688,0.624
"111",4,"Control","High","Control High","1","F..3",0.16646,0.4702,0.646
"112",4,"Control","High","Control High","2","F..1",0.16942,0.3049,0.49254
"113",4,"Control","High","Control High","2","F..2",0.17598,0.4296,0.5574
"114",4,"Control","High","Control High","2","F..3",0.1642,0.40902,0.5892
"115",4,"Control","Low","Control Low","1","F..1",0.14362,0.36362,0.602
"116",4,"Control","Low","Control Low","1","F..2",0.15972,0.4302,0.6284
"117",4,"Control","Low","Control Low","1","F..3",0.14656,0.39608,0.6292
"118",4,"Control","Low","Control Low","2","F..1",0.14784,0.36334,0.5932
