"","St","Npts","VelX","VelY","VelZ","VxErr","VyErr","VzErr","SNR1","SNR2","SNR3","ASD1","ASD2","ASD3","Temp","Batt","site"
"1",1,180,0.3646,0.0128,0,0.0587,0.0611,0,21.5,21.9,0,1.3,1.3,0,26.66,8.74,"1"
"2",2,180,0.1638,0.0224,0,0.0499,0.0507,0,18.9,20.6,0,2.6,2.6,0,26.62,8.63,"1"
"3",3,180,0.1204,0.0631,0,0.0683,0.0573,0,19.4,20.6,0,2.1,2.1,0,26.72,8.56,"1"
"4",4,180,0.1613,0.0276,0,0.0485,0.0419,0,17.6,18.1,0,2.1,1.7,0,26.72,8.51,"1"
"5",5,180,0.0802,0.041,0,0.0648,0.0563,0,16.8,18.5,0,2.6,3,0,26.7,8.45,"1"
"6",6,180,0.1009,0.0571,0,0.0469,0.0464,0,16.8,17.2,0,2.6,2.6,0,26.57,8.4,"1"
"7",1,180,0.1451,0.0215,0,0.0443,0.0347,0,24.5,25.4,0,3,2.6,0,27.08,8.24,"2"
"8",2,180,0.0671,0.0268,0,0.0874,0.0355,0,21.5,23.2,0,4.3,4.3,0,27.1,8.2,"2"
"9",3,180,0.1348,-0.0059,0,0.0325,0.0357,0,18.9,19.4,0,5.2,5.2,0,27.42,8.18,"2"
"10",4,180,0.1156,-0.0355,0,0.0399,0.0359,0,16.8,17.6,0,2.6,2.1,0,27.47,8.1,"2"
"11",5,180,0.0566,0.0127,0,0.0401,0.0305,0,18.5,18.5,0,4.7,4.7,0,27.25,8.01,"2"
"12",6,180,0.0272,0.0025,0,0.0473,0.0347,0,18.1,17.6,0,4.3,3.9,0,27.42,7.96,"2"
"13",1,180,0.4063,0.1829,0,0.07,0.1046,0,27.1,27.9,0,1.3,1.3,0,25.24,12.16,"3"
"14",2,180,0.2504,-0.084,0,0.1021,0.1781,0,24.5,26.7,0,1.7,1.7,0,25.32,12.07,"3"
"15",3,180,0.1929,0.113,0,0.0734,0.1232,0,24.9,25.4,0,1.7,2.1,0,25.3,11.99,"3"
"16",4,180,0.1901,-0.028,0,0.1322,0.1482,0,24.1,24.9,0,2.1,2.1,0,25.27,11.85,"3"
"17",5,180,0.1699,0.0131,0,0.1163,0.1185,0,24.1,25.4,0,2.1,2.1,0,25.28,11.91,"3"
"18",6,180,0.077,0.0169,0,0.1166,0.1122,0,27.9,27.5,0,3.9,3.9,0,25.28,11.79,"3"
