"","Timepoint","Species","Trajectory","Tank","Flow","Coral","HM","Square","Count","Dilution"
"1","TP1","AA","Protective","T1","High","#1","1",1,41,10
"2","TP1","AA","Protective","T1","High","#1","1",2,34,10
"3","TP1","AA","Protective","T1","High","#1","1",3,33,10
"4","TP1","AA","Protective","T1","High","#1","1",4,38,10
"5","TP1","AA","Protective","T1","High","#1","1",5,30,10
"6","TP1","AA","Protective","T1","High","#1","2",1,26,10
"7","TP1","AA","Protective","T1","High","#1","2",2,25,10
"8","TP1","AA","Protective","T1","High","#1","2",3,24,10
"9","TP1","AA","Protective","T1","High","#1","2",4,26,10
"10","TP1","AA","Protective","T1","High","#1","2",5,23,10
"11","TP1","AA","Protective","T1","High","#1","3",1,45,10
"12","TP1","AA","Protective","T1","High","#1","3",2,45,10
"13","TP1","AA","Protective","T1","High","#1","3",3,44,10
"14","TP1","AA","Protective","T1","High","#1","3",4,45,10
"15","TP1","AA","Protective","T1","High","#1","3",5,46,10
"16","TP1","AA","Protective","T1","High","#1","4",1,53,10
"17","TP1","AA","Protective","T1","High","#1","4",2,38,10
"18","TP1","AA","Protective","T1","High","#1","4",3,31,10
"19","TP1","AA","Protective","T1","High","#1","4",4,50,10
"20","TP1","AA","Protective","T1","High","#1","4",5,39,10
"21","TP1","AA","Protective","T1","High","#1","5",1,41,10
"22","TP1","AA","Protective","T1","High","#1","5",2,34,10
"23","TP1","AA","Protective","T1","High","#1","5",3,35,10
"24","TP1","AA","Protective","T1","High","#1","5",4,43,10
"25","TP1","AA","Protective","T1","High","#1","5",5,34,10
"26","TP1","AA","Protective","T1","High","#1","6",1,29,10
"27","TP1","AA","Protective","T1","High","#1","6",2,25,10
"28","TP1","AA","Protective","T1","High","#1","6",3,26,10
"29","TP1","AA","Protective","T1","High","#1","6",4,27,10
"30","TP1","AA","Protective","T1","High","#1","6",5,17,10
"31","TP1","AA","Protective","T1","High","#2","1",1,18,10
"32","TP1","AA","Protective","T1","High","#2","1",2,27,10
"33","TP1","AA","Protective","T1","High","#2","1",3,23,10
"34","TP1","AA","Protective","T1","High","#2","1",4,22,10
"35","TP1","AA","Protective","T1","High","#2","1",5,28,10
"36","TP1","AA","Protective","T1","High","#2","2",1,17,10
"37","TP1","AA","Protective","T1","High","#2","2",2,19,10
"38","TP1","AA","Protective","T1","High","#2","2",3,25,10
"39","TP1","AA","Protective","T1","High","#2","2",4,23,10
"40","TP1","AA","Protective","T1","High","#2","2",5,29,10
"41","TP1","AA","Protective","T1","High","#2","3",1,24,10
"42","TP1","AA","Protective","T1","High","#2","3",2,29,10
"43","TP1","AA","Protective","T1","High","#2","3",3,16,10
"44","TP1","AA","Protective","T1","High","#2","3",4,24,10
"45","TP1","AA","Protective","T1","High","#2","3",5,19,10
"46","TP1","AA","Protective","T1","High","#2","4",1,32,10
"47","TP1","AA","Protective","T1","High","#2","4",2,30,10
"48","TP1","AA","Protective","T1","High","#2","4",3,27,10
"49","TP1","AA","Protective","T1","High","#2","4",4,30,10
"50","TP1","AA","Protective","T1","High","#2","4",5,26,10
"51","TP1","AA","Protective","T1","High","#2","5",1,27,10
"52","TP1","AA","Protective","T1","High","#2","5",2,32,10
"53","TP1","AA","Protective","T1","High","#2","5",3,21,10
"54","TP1","AA","Protective","T1","High","#2","5",4,11,10
"55","TP1","AA","Protective","T1","High","#2","5",5,29,10
"56","TP1","AA","Protective","T1","High","#2","6",1,19,10
"57","TP1","AA","Protective","T1","High","#2","6",2,3,10
"58","TP1","AA","Protective","T1","High","#2","6",3,22,10
"59","TP1","AA","Protective","T1","High","#2","6",4,21,10
"60","TP1","AA","Protective","T1","High","#2","6",5,30,10
"61","TP1","AA","Protective","T1","High","#3","1",1,38,10
"62","TP1","AA","Protective","T1","High","#3","1",2,26,10
"63","TP1","AA","Protective","T1","High","#3","1",3,28,10
"64","TP1","AA","Protective","T1","High","#3","1",4,33,10
"65","TP1","AA","Protective","T1","High","#3","1",5,29,10
"66","TP1","AA","Protective","T1","High","#3","2",1,37,10
"67","TP1","AA","Protective","T1","High","#3","2",2,50,10
"68","TP1","AA","Protective","T1","High","#3","2",3,48,10
"69","TP1","AA","Protective","T1","High","#3","2",4,39,10
"70","TP1","AA","Protective","T1","High","#3","2",5,49,10
"71","TP1","AA","Protective","T1","High","#3","3",1,30,10
"72","TP1","AA","Protective","T1","High","#3","3",2,33,10
"73","TP1","AA","Protective","T1","High","#3","3",3,33,10
"74","TP1","AA","Protective","T1","High","#3","3",4,25,10
"75","TP1","AA","Protective","T1","High","#3","3",5,28,10
"76","TP1","AA","Protective","T1","High","#3","4",1,32,10
"77","TP1","AA","Protective","T1","High","#3","4",2,31,10
"78","TP1","AA","Protective","T1","High","#3","4",3,26,10
"79","TP1","AA","Protective","T1","High","#3","4",4,30,10
"80","TP1","AA","Protective","T1","High","#3","4",5,30,10
"81","TP1","AA","Protective","T1","High","#3","5",1,34,10
"82","TP1","AA","Protective","T1","High","#3","5",2,36,10
"83","TP1","AA","Protective","T1","High","#3","5",3,35,10
"84","TP1","AA","Protective","T1","High","#3","5",4,34,10
"85","TP1","AA","Protective","T1","High","#3","5",5,43,10
"86","TP1","AA","Protective","T1","High","#3","6",1,44,10
"87","TP1","AA","Protective","T1","High","#3","6",2,47,10
"88","TP1","AA","Protective","T1","High","#3","6",3,39,10
"89","TP1","AA","Protective","T1","High","#3","6",4,33,10
"90","TP1","AA","Protective","T1","High","#3","6",5,39,10
"91","TP1","AA","Protective","T1","Low","#1","1",1,48,10
"92","TP1","AA","Protective","T1","Low","#1","1",2,47,10
"93","TP1","AA","Protective","T1","Low","#1","1",3,48,10
"94","TP1","AA","Protective","T1","Low","#1","1",4,38,10
"95","TP1","AA","Protective","T1","Low","#1","1",5,45,10
"96","TP1","AA","Protective","T1","Low","#1","2",1,38,10
"97","TP1","AA","Protective","T1","Low","#1","2",2,46,10
