"","TP","Species","Trajectory","Tank","n","Flow","S.A...cm2..est."
"1","TP1","AA","Control","Low","#1","T1",45.0942
"2","TP1","AA","Control","Low","#2","T1",34.642956
"3","TP1","AA","Control","Low","#3","T1",26.446422
"4","TP1","AA","Control","High","#1","T1",27.8523
"5","TP1","AA","Control","High","#2","T1",37.53429
"6","TP1","AA","Control","High","#3","T1",44.484102
"7","TP1","AA","Control","Low","#1","T2",57.667524
"8","TP1","AA","Control","Low","#2","T2",45.836928
"9","TP1","AA","Control","Low","#3","T2",44.351472
"10","TP1","AA","Control","High","#2","T2",52.494954
"11","TP1","AA","Control","High","#3","T2",31.380258
"12","TP1","AA","Single","Low","#1","T1",19.390506
"13","TP1","AA","Single","Low","#2","T1",23.369406
"14","TP1","AA","Single","Low","#3","T1",25.518012
"15","TP1","AA","Single","High","#1","T1",19.257876
"16","TP1","AA","Single","High","#2","T1",17.003166
"17","TP1","AA","Single","High","#3","T1",25.571064
"18","TP1","AA","Single","Low","#1","T2",20.106708
"19","TP1","AA","Single","Low","#2","T2",28.727658
"20","TP1","AA","Single","Low","#3","T2",42.83949
"21","TP1","AA","Single","High","#1","T2",22.998042
"22","TP1","AA","Single","High","#2","T2",21.459534
"23","TP1","AA","Single","High","#3","T2",34.324644
"24","TP1","AA","Protective","Low","#1","T1",23.952978
"25","TP1","AA","Protective","Low","#3","T1",24.53655
"26","TP1","AA","Protective","High","#1","T1",36.632406
"27","TP1","AA","Protective","High","#2","T1",24.589602
"28","TP1","AA","Protective","High","#3","T1",34.4838
"29","TP1","AA","Protective","Low","#1","T2",37.719972
"30","TP1","AA","Protective","Low","#2","T2",18.488622
"31","TP1","AA","Protective","Low","#3","T2",41.672346
"32","TP1","AA","Protective","High","#1","T2",43.078224
"33","TP1","AA","Protective","High","#2","T2",37.826076
"34","TP2","AA","Control","Low","#1","T1",29.762172
"35","TP2","AA","Control","Low","#3","T1",38.913642
"36","TP2","AA","Control","High","#1","T1",23.555088
"37","TP2","AA","Control","High","#2","T1",31.69857
"38","TP2","AA","Control","High","#3","T1",52.707162
"39","TP2","AA","Control","Low","#1","T2",14.350566
"40","TP2","AA","Control","Low","#2","T2",10.239036
"41","TP2","AA","Control","Low","#3","T2",22.069632
"42","TP2","AA","Control","High","#1","T2",45.200304
"43","TP2","AA","Control","High","#2","T2",31.03542
"44","TP2","AA","Control","High","#3","T2",44.590206
"45","TP2","AA","Single","Low","#1","T1",19.947552
"46","TP2","AA","Single","Low","#2","T1",12.148908
"47","TP2","AA","Single","Low","#3","T1",15.78297
"48","TP2","AA","Single","High","#1","T1",17.931576
"49","TP2","AA","Single","High","#2","T1",20.982066
"50","TP2","AA","Single","High","#3","T1",25.040544
"51","TP2","AA","Single","Low","#1","T2",29.470386
"52","TP2","AA","Single","Low","#2","T2",26.313792
"53","TP2","AA","Single","Low","#3","T2",29.099022
"54","TP2","AA","Single","High","#1","T2",42.070236
"55","TP2","AA","Single","High","#2","T2",20.345442
"56","TP2","AA","Single","High","#3","T2",45.704298
"57","TP2","AA","Protective","Low","#1","T1",18.992616
"58","TP2","AA","Protective","Low","#2","T1",19.178298
"59","TP2","AA","Protective","Low","#3","T1",22.626678
"60","TP2","AA","Protective","High","#1","T1",27.958404
"61","TP2","AA","Protective","High","#2","T1",21.671742
"62","TP2","AA","Protective","High","#3","T1",28.992918
"63","TP2","AA","Protective","Low","#1","T2",27.348306
"64","TP2","AA","Protective","Low","#2","T2",38.648382
"65","TP2","AA","Protective","Low","#3","T2",24.297816
"66","TP2","AA","Protective","High","#1","T2",41.831502
"67","TP2","AA","Protective","High","#2","T2",40.346046
"68","TP2","AA","Protective","High","#3","T2",21.08817
"69","TP1","AA","Protective","High","#3","T2",38.223966
"70","TP1","AA","Protective","Low","#2","T1",18.594726
"71","TP1","AA","Control","High","#1","T2",45.200304
