"","Timepoint","SI_1","SI_2","daily_mean","NA","NA","NA"
"1",2018-04-11 02:00:00,25.1573333333333,25.1573333333333,2018-04-11 02:00:00,2018-04-11 02:00:00,25.0942833333333,25.0942833333333
"2",2018-04-11 03:00:00,25.0474,25.0474,2018-04-11 03:00:00,2018-04-11 03:00:00,24.9423166666667,24.9423166666667
"3",2018-04-11 04:00:00,24.9102,24.9102,2018-04-11 04:00:00,2018-04-11 04:00:00,24.8571833333333,24.8571833333333
"4",2018-04-11 05:00:00,24.835,24.835,2018-04-11 05:00:00,2018-04-11 05:00:00,24.738,24.738
"5",2018-04-11 06:00:00,24.8333833333333,24.8333833333333,2018-04-11 06:00:00,2018-04-11 06:00:00,24.738,24.738
"6",2018-04-11 07:00:00,24.8188333333333,24.8188333333333,2018-04-11 07:00:00,2018-04-11 07:00:00,24.7347666666667,24.7347666666667
"7",2018-04-11 08:00:00,24.96695,24.96695,2018-04-11 08:00:00,2018-04-11 08:00:00,24.7703333333333,24.7703333333333
"8",2018-04-11 09:00:00,25.6589833333333,25.6589833333333,2018-04-11 09:00:00,2018-04-11 09:00:00,25.0927333333333,25.0927333333333
"9",2018-04-11 10:00:00,25.8098166666667,25.8098166666667,2018-04-11 10:00:00,2018-04-11 10:00:00,25.3804333333333,25.3804333333333
"10",2018-04-11 11:00:00,25.47435,25.47435,2018-04-11 11:00:00,2018-04-11 11:00:00,25.3012166666667,25.3012166666667
"11",2018-04-11 12:00:00,25.3578,25.3578,2018-04-11 12:00:00,2018-04-11 12:00:00,25.3222333333333,25.3222333333333
"12",2018-04-11 13:00:00,25.52945,25.52945,2018-04-11 13:00:00,2018-04-11 13:00:00,25.4743333333333,25.4743333333333
"13",2018-04-11 14:00:00,25.35295,25.35295,2018-04-11 14:00:00,2018-04-11 14:00:00,25.6687,25.6687
"14",2018-04-11 15:00:00,25.2414,25.2414,2018-04-11 15:00:00,2018-04-11 15:00:00,25.3836666666667,25.3836666666667
"15",2018-04-11 16:00:00,25.2624166666667,25.2624166666667,2018-04-11 16:00:00,2018-04-11 16:00:00,25.21715,25.21715
"16",2018-04-11 17:00:00,25.222,25.222,2018-04-11 17:00:00,2018-04-11 17:00:00,25.1314666666667,25.1314666666667
"17",2018-04-11 18:00:00,25.222,25.222,2018-04-11 18:00:00,2018-04-11 18:00:00,25.125,25.125
"18",2018-04-11 19:00:00,25.222,25.222,2018-04-11 19:00:00,2018-04-11 19:00:00,25.125,25.125
"19",2018-04-11 20:00:00,25.222,25.222,2018-04-11 20:00:00,2018-04-11 20:00:00,25.125,25.125
"20",2018-04-11 21:00:00,25.13955,25.13955,2018-04-11 21:00:00,2018-04-11 21:00:00,25.12015,25.12015
"21",2018-04-11 22:00:00,25.125,25.125,2018-04-11 22:00:00,2018-04-11 22:00:00,25.0263833333333,25.0263833333333
"22",2018-04-11 23:00:00,25.0393166666667,25.0393166666667,2018-04-11 23:00:00,2018-04-11 23:00:00,24.9407,24.9407
"23",2018-04-12 00:00:00,24.931,24.931,2018-04-12 00:00:00,2018-04-12 00:00:00,24.851,24.851
"24",2018-04-12 01:00:00,24.8686,24.8686,2018-04-12 01:00:00,2018-04-12 01:00:00,24.8236833333333,24.8236833333333
"25",2018-04-12 02:00:00,24.7865,24.7865,2018-04-12 02:00:00,2018-04-12 02:00:00,24.7121333333333,24.7121333333333
"26",2018-04-12 03:00:00,24.6138333333333,24.6138333333333,2018-04-12 03:00:00,2018-04-12 03:00:00,24.5706,24.5706
"27",2018-04-12 04:00:00,24.5142833333333,24.5142833333333,2018-04-12 04:00:00,2018-04-12 04:00:00,24.4366833333333,24.4366833333333
"28",2018-04-12 05:00:00,24.4092,24.4092,2018-04-12 05:00:00,2018-04-12 05:00:00,24.343,24.343
"29",2018-04-12 06:00:00,24.351,24.351,2018-04-12 06:00:00,2018-04-12 06:00:00,24.2726,24.2726
"30",2018-04-12 07:00:00,24.3898,24.3898,2018-04-12 07:00:00,2018-04-12 07:00:00,24.335,24.335
"31",2018-04-12 08:00:00,24.6526833333333,24.6526833333333,2018-04-12 08:00:00,2018-04-12 08:00:00,24.4318166666667,24.4318166666667
"32",2018-04-12 09:00:00,25.1993666666667,25.1993666666667,2018-04-12 09:00:00,2018-04-12 09:00:00,24.8814166666667,24.8814166666667
"33",2018-04-12 10:00:00,25.6704,25.6704,2018-04-12 10:00:00,2018-04-12 10:00:00,25.319,25.319
"34",2018-04-12 11:00:00,25.9655666666667,25.9655666666667,2018-04-12 11:00:00,2018-04-12 11:00:00,25.5972333333333,25.5972333333333
"35",2018-04-12 12:00:00,25.9025166666667,25.9025166666667,2018-04-12 12:00:00,2018-04-12 12:00:00,25.7059666666667,25.7059666666667
"36",2018-04-12 13:00:00,26.0419833333333,26.0419833333333,2018-04-12 13:00:00,2018-04-12 13:00:00,25.8405666666667,25.8405666666667
"37",2018-04-12 14:00:00,25.3400166666667,25.3400166666667,2018-04-12 14:00:00,2018-04-12 14:00:00,25.8438,25.8438
"38",2018-04-12 15:00:00,25.3658833333333,25.3658833333333,2018-04-12 15:00:00,2018-04-12 15:00:00,25.5148,25.5148
"39",2018-04-12 16:00:00,25.4257,25.4257,2018-04-12 16:00:00,2018-04-12 16:00:00,25.416,25.416
"40",2018-04-12 17:00:00,25.3804333333333,25.3804333333333,2018-04-12 17:00:00,2018-04-12 17:00:00,25.3594166666667,25.3594166666667
"41",2018-04-12 18:00:00,25.34325,25.34325,2018-04-12 18:00:00,2018-04-12 18:00:00,25.319,25.319
"42",2018-04-12 19:00:00,25.3852833333333,25.3852833333333,2018-04-12 19:00:00,2018-04-12 19:00:00,25.319,25.319
"43",2018-04-12 20:00:00,25.38205,25.38205,2018-04-12 20:00:00,2018-04-12 20:00:00,25.319,25.319
"44",2018-04-12 21:00:00,25.3513333333333,25.3513333333333,2018-04-12 21:00:00,2018-04-12 21:00:00,25.319,25.319
"45",2018-04-12 22:00:00,25.319,25.319,2018-04-12 22:00:00,2018-04-12 22:00:00,25.319,25.319
"46",2018-04-12 23:00:00,25.319,25.319,2018-04-12 23:00:00,2018-04-12 23:00:00,25.2737333333333,25.2737333333333
"47",2018-04-13 00:00:00,25.2139166666667,25.2139166666667,2018-04-13 00:00:00,2018-04-13 00:00:00,25.18805,25.18805
"48",2018-04-13 01:00:00,25.125,25.125,2018-04-13 01:00:00,2018-04-13 01:00:00,25.0926666666667,25.0926666666667
"49",2018-04-13 02:00:00,25.0942833333333,25.0942833333333,2018-04-13 02:00:00,2018-04-13 02:00:00,25.0247666666667,25.0247666666667
"50",2018-04-13 03:00:00,24.9827333333333,24.9827333333333,2018-04-13 03:00:00,2018-04-13 03:00:00,24.93585,24.93585
"51",2018-04-13 04:00:00,24.9246,24.9246,2018-04-13 04:00:00,2018-04-13 04:00:00,24.8926,24.8926
"52",2018-04-13 05:00:00,24.8398,24.8398,2018-04-13 05:00:00,2018-04-13 05:00:00,24.7784166666667,24.7784166666667
"53",2018-04-13 06:00:00,24.7444666666667,24.7444666666667,2018-04-13 06:00:00,2018-04-13 06:00:00,24.7056666666667,24.7056666666667
"54",2018-04-13 07:00:00,24.80905,24.80905,2018-04-13 07:00:00,2018-04-13 07:00:00,24.7056666666667,24.7056666666667
"55",2018-04-13 08:00:00,25.2690833333333,25.2690833333333,2018-04-13 08:00:00,2018-04-13 08:00:00,24.81385,24.81385
"56",2018-04-13 09:00:00,25.857,25.857,2018-04-13 09:00:00,2018-04-13 09:00:00,25.2996,25.2996
"57",2018-04-13 10:00:00,25.8326833333333,25.8326833333333,2018-04-13 10:00:00,2018-04-13 10:00:00,25.8667,25.8667
"58",2018-04-13 11:00:00,26.2454166666667,26.2454166666667,2018-04-13 11:00:00,2018-04-13 11:00:00,25.9477333333333,25.9477333333333
"59",2018-04-13 12:00:00,26.6258833333333,26.6258833333333,2018-04-13 12:00:00,2018-04-13 12:00:00,26.1182333333333,26.1182333333333
"60",2018-04-13 13:00:00,26.5429,26.5429,2018-04-13 13:00:00,2018-04-13 13:00:00,26.2402333333333,26.2402333333333
"61",2018-04-13 14:00:00,25.7094333333333,25.7094333333333,2018-04-13 14:00:00,2018-04-13 14:00:00,26.1656,26.1656
"62",2018-04-13 15:00:00,25.6753333333333,25.6753333333333,2018-04-13 15:00:00,2018-04-13 15:00:00,25.77595,25.77595
"63",2018-04-13 16:00:00,25.7597333333333,25.7597333333333,2018-04-13 16:00:00,2018-04-13 16:00:00,25.76135,25.76135
"64",2018-04-13 17:00:00,25.80015,25.80015,2018-04-13 17:00:00,2018-04-13 17:00:00,25.7936833333333,25.7936833333333
"65",2018-04-13 18:00:00,25.7306333333333,25.7306333333333,2018-04-13 18:00:00,2018-04-13 18:00:00,25.7241666666667,25.7241666666667
