Tank,Flow,n,Time_start,Time_end,Time_diff,Distance,Speed
AMB_1,High,1,"00:01:27,777","00:01:29,097",1.32,25,18.93939394
AMB_1,High,2,"00:00:35,287","00:00:36,607",1.32,20,15.15151515
AMB_1,High,3,"00:00:50,876","00:00:52,076",1.2,20,16.66666667
AMB_1,Low,1,"00:00:15,443","00:00:27,407",11.964,5,0.417920428
AMB_1,Low,2,"00:00:35,745","00:00:41,718",5.973,2,0.334840114
AMB_1,Low,3,"00:00:50,763","00:00:58,559",7.796,3,0.384812724
AMB_2,High,1,"00:01:46,746","00:01:48,567",1.821,26,14.2778693
AMB_2,High,2,"00:00:36,445","00:00:38,238",1.793,30,16.73173452
AMB_2,High,3,"00:00:46,551","00:00:47,751",1.2,20,16.66666667
AMB_2,Low,1,"00:00:03,630","00:00:48,997",45.367,15,0.330636806
AMB_2,Low,2,"00:01:15,011","00:01:21,609",6.598,5,0.757805396
AMB_2,Low,3,"00:01:23,401","00:01:27,789",4.388,3,0.683682771
SB_1,High,1,"00:00:37,528","00:00:38,808",1.282,20,15.60062402
SB_1,High,2,"00:01:16,118","00:01:17,598",1.48,25,16.89189189
SB_1,High,3,"00:00:33,254","00:00:34,854",1.6,26,16.25
SB_1,Low,1,"00:00:33,505","00:00:46,382",12.877,7,0.543604877
SB_1,Low,2,"00:00:48,942","00:01:00,761",11.819,5,0.423047635
SB_1,Low,3,"00:01:13,527","00:01:24,344",10.817,5,0.46223537
SB_2,High,1,"00:01:38,227","00:01:39,627",1.4,20,14.28571429
SB_2,High,2,"00:01:59,251","00:02:00,171",0.92,15,16.30434783
SB_2,High,3,"00:02:08,416","00:02:09,536",1.12,20,17.85714286
SB_2,Low,1,"00:00:54,253","00:01:02,237",7.984,4,0.501002004
SB_2,Low,2,"00:01:09,195","00:01:18,047",8.852,4,0.451875282
PS_SB_1,High,1,"00:00:39,563","00:00:40,843",1.28,20,15.625
PS_SB_1,High,2,"00:00:42,895","00:00:44,615",1.72,25,14.53488372
PS_SB_1,High,3,"00:01:04,096","00:01:06,256",2.16,30,13.88888889
PS_SB_1,Low,1,"00:00:23,891","00:00:30,120",6.229,3,0.481618237
PS_SB_1,Low,2,"00:00:30,120","00:00:37,366",7.246,3,0.414021529
PS_SB_1,Low,3,"00:00:37,366","00:00:47,330",9.964,5,0.501806503
PS_SB_2,High,1,"00:00:45,881","00:00:47,361",1.48,25,16.89189189
PS_SB_2,High,2,"00:00:39,824","00:00:41,824",2,30,15
PS_SB_2,High,3,"00:00:43,426","00:00:44,826",1.4,25,17.85714286
PS_SB_2,Low,1,"00:00:18,643","00:00:27,044",8.401,7,0.833234139
PS_SB_2,Low,2,"00:00:27,044","00:00:37,816",10.772,5,0.464166357
PS_SB_2,Low,3,"00:00:43,415","00:00:52,566",9.151,4,0.437110698
