Date,Time,Height
10.04.19,6:07:00 AM,1.34
10.04.19,12:02:00 PM,3.24
10.04.19,6:00:00 PM,1.36
11.04.19,12:47:00 AM,3.76
11.04.19,7:06:00 AM,1.51
11.04.19,1:02:00 PM,3.04
11.04.19,6:58:00 PM,1.56
12.04.19,1:54:00 AM,3.67
12.04.19,8:27:00 AM,1.58
12.04.19,2:28:00 PM,2.94
12.04.19,8:36:00 PM,1.64
13.04.19,3:19:00 AM,3.69
13.04.19,9:57:00 AM,1.47
13.04.19,4:08:00 PM,3.05
13.04.19,10:07:00 PM,1.53
14.04.19,4:40:00 AM,3.86
14.04.19,11:17:00 AM,1.21
14.04.19,5:30:00 PM,3.34
14.04.19,11:27:00 PM,1.29
15.04.19,5:48:00 AM,4.10
15.04.19,12:21:00 PM,0.92
15.04.19,6:31:00 PM,3.66
16.04.19,12:34:00 AM,1.00
16.04.19,6:45:00 AM,4.30
16.04.19,1:12:00 PM,0.66
16.04.19,7:21:00 PM,3.94
17.04.19,1:29:00 AM,0.75
17.04.19,7:34:00 AM,4.41
17.04.19,1:58:00 PM,0.48
17.04.19,8:06:00 PM,4.17
18.04.19,2:16:00 AM,0.57
18.04.19,8:18:00 AM,4.43
18.04.19,2:39:00 PM,0.38
18.04.19,8:48:00 PM,4.32
19.04.19,3:00:00 AM,0.48
19.04.19,9:00:00 AM,4.36
19.04.19,3:18:00 PM,0.38
19.04.19,9:28:00 PM,4.41
20.04.19,3:43:00 AM,0.51
20.04.19,9:43:00 AM,4.20
20.04.19,3:55:00 PM,0.48
20.04.19,10:09:00 PM,4.39
21.04.19,4:25:00 AM,0.66
21.04.19,10:24:00 AM,3.96
21.04.19,4:30:00 PM,0.68
21.04.19,10:50:00 PM,4.27
22.04.19,5:07:00 AM,0.90
22.04.19,11:06:00 AM,3.65
22.04.19,5:01:00 PM,0.95
22.04.19,11:32:00 PM,4.07
23.04.19,5:50:00 AM,1.19
23.04.19,11:48:00 AM,3.32
23.04.19,5:25:00 PM,1.25
24.04.19,12:14:00 AM,3.81
24.04.19,6:38:00 AM,1.48
24.04.19,12:34:00 PM,3.02
24.04.19,5:48:00 PM,1.53
25.04.19,1:02:00 AM,3.56
25.04.19,7:41:00 AM,1.69
25.04.19,1:33:00 PM,2.80
25.04.19,6:33:00 PM,1.80
26.04.19,2:06:00 AM,3.37
26.04.19,9:05:00 AM,1.75
26.04.19,2:55:00 PM,2.71
26.04.19,8:21:00 PM,1.99
27.04.19,3:29:00 AM,3.30
27.04.19,10:25:00 AM,1.65
27.04.19,4:33:00 PM,2.84
27.04.19,10:16:00 PM,1.93
28.04.19,4:50:00 AM,3.38
28.04.19,11:27:00 AM,1.47
28.04.19,5:39:00 PM,3.08
28.04.19,11:29:00 PM,1.74
29.04.19,5:47:00 AM,3.53
29.04.19,12:11:00 PM,1.27
29.04.19,6:24:00 PM,3.34
30.04.19,12:18:00 AM,1.53
30.04.19,6:31:00 AM,3.67
30.04.19,12:47:00 PM,1.10
30.04.19,7:01:00 PM,3.57
01.05.19,12:57:00 AM,1.33
01.05.19,7:08:00 AM,3.78
01.05.19,1:21:00 PM,0.95
01.05.19,7:34:00 PM,3.77
02.05.19,1:32:00 AM,1.16
02.05.19,7:42:00 AM,3.84
02.05.19,1:53:00 PM,0.83
02.05.19,8:06:00 PM,3.94
03.05.19,2:08:00 AM,1.01
03.05.19,8:15:00 AM,3.87
03.05.19,2:24:00 PM,0.73
03.05.19,8:38:00 PM,4.08
04.05.19,2:43:00 AM,0.90
04.05.19,8:49:00 AM,3.84
04.05.19,2:57:00 PM,0.68
04.05.19,9:12:00 PM,4.19
