Date,Time,dir,spd
11/04/2019,9:00:00,SE,35
12/04/2019,9:00:00,SSE,31
13/04/2019,9:00:00,SSE,30
14/04/2019,9:00:00,SE,31
15/04/2019,9:00:00,SSE,24
16/04/2019,9:00:00,SE,30
17/04/2019,9:00:00,SSE,19
18/04/2019,9:00:00,SSE,24
19/04/2019,9:00:00,SSE,28
20/04/2019,9:00:00,SE,24
21/04/2019,9:00:00,ESE,33
22/04/2019,9:00:00,ESE,24
23/04/2019,9:00:00,ESE,24
24/04/2019,9:00:00,E,28
25/04/2019,9:00:00,ESE,30
26/04/2019,9:00:00,NE,17
27/04/2019,9:00:00,SSE,20
28/04/2019,9:00:00,SE,28
29/04/2019,9:00:00,ESE,22
30/04/2019,9:00:00,ESE,24
1/05/2019,9:00:00,ESE,48
2/05/2019,9:00:00,ESE,50
3/05/2019,9:00:00,ENE,41
4/05/2019,9:00:00,S,39
11/04/2019,15:00:00,SE,35
12/04/2019,15:00:00,SE,35
13/04/2019,15:00:00,SE,39
14/04/2019,15:00:00,SSE,33
15/04/2019,15:00:00,SE,28
16/04/2019,15:00:00,SE,30
17/04/2019,15:00:00,SSE,24
18/04/2019,15:00:00,SE,37
19/04/2019,15:00:00,SSE,31
20/04/2019,15:00:00,ESE,26
21/04/2019,15:00:00,ESE,31
22/04/2019,15:00:00,ESE,28
23/04/2019,15:00:00,ESE,24
24/04/2019,15:00:00,ESE,28
25/04/2019,15:00:00,E,22
26/04/2019,15:00:00,E,24
27/04/2019,15:00:00,SE,20
28/04/2019,15:00:00,SE,28
29/04/2019,15:00:00,SE,30
30/04/2019,15:00:00,ESE,15
1/05/2019,15:00:00,E,17
2/05/2019,15:00:00,E,26
3/05/2019,15:00:00,E,19
4/05/2019,15:00:00,SSE,13
